,National Anthem,sentiment,na_len,Country,Word Count
Costa Rica,"   Noble homeland, your beautiful flag   Express for us your life:   Under the limpid blue of your skies,   Peace reigns, white and pure.       In the tenacious battle of fruitful toil,   That brings a glow to men’s faces,   Your sons, simple farm hands,   Gained eternal renown, esteem and honour    Gained eternal renown, esteem and honour.       Hail gentle country, hail loving mother!   If anyone should attempt to besmirch your glory,   You will see your people, valiant and virile,   Exchange their rustic tools for weapons.       Hail O homeland! Your prodigal soil   Gives us sweet sustenance and shelter.   Under the limpid blue of your sky,   May peaceful labour ever co",NEUTRAL,771,Costa Rica,771
Côte d’Ivoire,"   We salute you, O land of hope,   Country of hospitality;   Thy gallant legions   Have restored thy dignity.      Beloved Ivory Coast, thy sons,   Proud builders of thy greatness,   All mustered together for thy glory,   In joy will construct thee.      Proud citizens of the Ivory Coast, the country calls us.   If we have brought back liberty peacefully,   It will be our duty to be an example   Of the hope promised to humanity,   Forging unitedly in new faith   The Fatherland of true broth",NEUTRAL,586,Côte d’Ivoire,586
Crimea,"   Your cornfields and your mountains are enchanting, Motherland,   Your sun and your sea are curative, Motherland.   We’ll save this land   And pass to our grandsons like a garden flourishing Crimea,   Like a garden flourishing Crimea!       The dawns of freedom have warmed you, Motherland,   The people-brothers have praised you, Motherland.   We’ll save this land   And will together, the Crimeans, glorify Crimea in the centuries,   Glorify Crimea in the centuries!      Be glorious,",NEUTRAL,578,Crimea,578
Croatia,"   Our beautiful homeland,   Oh dear, heroic land,   Fatherland of ancient glory,   May you always be happy!      Dear, as much as you are glorious,   Only you are dear to us.   Dear, where your land is flat,   Dear, where it is mountainous.       Flow Sava, Drava flow,   Nor you, Danube, lose your power,   Azure sea, tell to the world   That a Croat loves his nation.      As long as sun warms his ploughed land,   As long as storms lash his oak trees,   As long as the grave hides his dead,   As long as his living hear",POSITIVE,613,Croatia,613
Cuba,"   Hasten to battle, men of Bayamo,   For the homeland looks proudly to you.   You do not fear a glorious death,   Because to die for the country is to live.      To live in chains is to live    in dishonour and ignominy.   Hear the clarion call,   Hasten, braves ones, to battle!   To live in chains is to live    in dishonour and ignominy.   Hear the clarion call,   Hasten, braves ones, to",NEUTRAL,482,Cuba,482
Curaçao,"   Let’s raise our voice and sing   the grandeur of Curaçao;   Curaçao, small island,   a boulder in the sea!      Curaçao we love you   above all nations.   Your glory we sing   with all our hearts.       Our people have their struggle   but we always have our faith   to accomplish always   victory through labour!      Let us give our share   for the island to prosper.   Let us unite forces   so we can triumph.       To our fatherland we demonstrate   honour and loyalty,   as we do to the flag   the union of our nation.      Our lives would be little   to give for our country,   fighting united for liberty,   love and understanding.       And when we are far from home   we all recall   Curaçao, its sun and beaches   the pride of us all.      Let us praise our Creator   always and forever,   for He has made us worthy   to be Cur",NEUTRAL,930,Curaçao,930
Czechia,"   Where is my home, where is my home?   Water roaring across meadows,   Pines whisper across crags,   In the garden shine the blossoms,   Paradise on earth it is to see!   And that’s the beautiful land,   Czech land, my home.   Czech land, ",NEUTRAL,331,Czechia,331
Czechoslovakia,"   Where is my home, where is my home?   Water roaring across meadows,   Pines whisper across crags,   In the garden shine the blossoms,   Paradise on earth it is to see!   And that’s the beautiful land,   Czech land, my home.   Czech land, my home.      Lighting flashes over the Tatra, the thunder pounds wildly,   Lighting flashes over the Tatra, the thunder pounds wildly.   Let us pause, brothers,    they will surely disappear,    the Slovaks will revive.   Let us pause, brothers,    they will surely disappear,    the Slovaks will",NEUTRAL,628,Czechoslovakia,628
Danzig,"   Do you know the city on the amber beach,    wreathed by everlasting green forests,    where slender gables stretch upwards    towards the sunshine !           Yes, should I live merrily    it must be in Danzig !         Do you know the city, where tower at tower    loyally resists the storms of time    where proud ships slide    towards the blue sea !           Yes, should I bravely struggle    it must be for Danzig !         Do you know the city, where German kind    defends its wealth with might and main,    where in German the bells invite    and where German’s every stone !           Yes, should I blessedly die,    It must be in ",NEUTRAL,734,Danzig,734
Djibouti,"   Arise with strength! For we have raised our flag,   The flag which has cost us dear   With extremes of thirst and pain.      Our flag, whose colours are the everlasting green of the earth,   The blue of the sky, and white, the colour of peace;   And in the centre the red star of blood.      Oh flag of ours, what a gloriou",NEUTRAL,416,Djibouti,416
Dominican Republic,"   Valients of Quisqueya,   Let us sing with strong feeling   And let us show to the world   Our invincible, glorious banner.       Hail, O people who, strong and intrepid,   Launched into war and went to death!   Under a warlike menace of death,   You broke your chains of slavery.        No country deserves to be free   If it is an indolent and servile slave,   If the call does not grow loud within it,   Tempered by a virile heroism.       But the brave and indomitable Quisqueya   Will always hold its head high,   For if it were a thousand times enslaved,   It would a thousand times regain liberty.        If it will be exposed to ruse and deceit   Unto contempt of a real imposer,   On to Las Carreras! Beler! …it were places   Where the traces of glory are found.       Where on the top of the heroic bastion,   The word of the libarated became flesh,   Where the genius of Sánchez and Duarte   Taught to be free or to die.        And if an unattended leader the splendor   Of these glorious events could ignore,   One has seen in Capotillo in the war   The flag of fire wave.       And the fire that lets the proud lion   Of Castilla become stupefied,   Removes him from the glorious beaches   Where the crossed banner waves.        Compatriots, let us proudly   Show our face, from today prouder than ever;   Quisqueya may be destroyed   But a slave again, never!       It is a sanctuary of love that every character   Of the fatherland feels alive!   And it is his coat of arms, the right;   And it is his device: be free or die.        Liberty that still rises cool-bloodedly   The victory in her triumphal car.   And the clarion of war re-echoes   Proclaiming his immortal glory.       Liberty! That the echo’s touch   While they’re full of noble tension   Our fields of glory repeat   Liberty! Liberty! L",NEUTRAL,1910,Dominican Republic,1910
Dominica,"   Isle of beauty, isle of splendor,   Isle to all so sweet and fair,   All must surely gaze in wonder   At thy gifts so rich and rare.   Rivers, valleys, hills and mountains,   All these gifts we do extol.   Healthy land, so like all fountains,   Giving cheer that warms the soul.       Dominica, God hath blest thee   With a clime benign and bright,   Pastures green and flowers of beauty   Filling all with pure delight,   And a people strong and healthy,   Full of godly, rev’rent fear.   May we ever seek to praise Thee   For these gifts so rich and rare.       Come ye forward, sons and daughters   Of this gem beyond compare.   Strive for honour, sons and daughters,   Do the right, be firm, be fair.   Toil with hearts and hands and voices.   We must prosper! Sound the call,   In which ev’ryone rejoices,   “All for Each and Each f",NEUTRAL,930,Dominica,930
Egypt (1961-1979),"     O! for ages! my weapon!   How I long to clutch thee!   Respond, awake and on alert,   For our valiant combat.        Hail, gallant troops of the people,   Dashing with thunderous roar,   Swearing never to return,   Except with epoch-making victory.        Rise and raise a host for all,   With loyal hearts ready for the death.   O! the horror the foe shall fear,   Through the fire of our zeal.        O! glory of our Country,   Achieved with our own efforts alone,   By the hard hours of timeless toil,   Never to be wasted or endangered.        Who shall protect Free Egypt?   We shall protect it with our lives.   Land of the Revolution, who will die for her sake?   We will, with our lives.        The people advance like the light,   The people stand like mountains and seas,   like Angry  erupting volcanoes,   Earthquakes digging graves for the",NEUTRAL,947,Egypt (1961-1979),947
Egypt,"     My homeland, my homeland, my homeland,   My love and my heart are for thee.   My homeland, my homeland, my homeland,   My love and my heart are for thee.       Egypt! O mother of all lands,   My hope and my ambition,   How can one count   The blessings of the Nile for mankind?          Egypt! Most precious jewel,   Shining on the brow of eternity!   O my homeland, be for ever free,   Safe from every foe!          Egypt! Noble are thy children,   Loyal, and guardians of thy soil.   In war and peace   We give our lives for thy s",NEUTRAL,627,Egypt,627
El Salvador,"     Let us salute the motherland,   Proud to be called her children.   To her well-being let us swear   Boldly and unceasingly to devote our lives.   Let us salute the motherland,   Proud to be called her children.   To her well-being let us swear   Boldly and unceasingly to devote our lives,   our lives,   our lives,   our lives,   our lives.       Of peace enjoyed in perfect happiness,   El Salvador has always nobly dreamed.   To achieve this has been her eternal proposition,   To keep it, her greatest glory.   With inviolable faith, she eagerly follows   The way of progress   In order to fulfil her high destiny   And achieve a happy future.   A stern barrier protects her   Against the clash of vile disloyalty,   Ever since the day when her lofty banner,   In letters of blood, wrote “Freedom”,   Wrote “Freedom”, wrote “Freedom”.             Freedom is her dogma and her guide;   A thousand times she has defended it,   And as many times has she repelled   The hateful power of atrocious tyranny.   Her history has been bloody and sad,   Yet at the same time sublime and brilliant,   A source of legitimate glory   And a great lesson in Spartan pride.   Her innate bravery shall not waver:   In every man there is an immortal hero   Who knows how to maintain the level   Of the proverbial valour of old.   Valour of old, valour of old.             All are self-denying and faithful   To the tradition of warlike ardour   With which they have always reaped fame   By saving the motherland’s honour.   To respect the rights of others   And base her actions on right and justice   Is for her, without infamous intrigue,   The constant and most firm ambition.   And in following this line she persists,   Dedicating her tenacious efforts   In giving hard battle for battle;    Her happiness is found in peace,    Is found in peace, is found in peace",NEUTRAL,1949,El Salvador,1949
Ecuador,"   :   O homeland, we greet you a thousand times!   Glory be to you, O homeland, glory be to you!   Your breast overflows with joy and peace,   And we see your radiant face shining   More brightly than the sun.        The worthy sons of the soil   Which Pichincha on high is adorning,   Always acclaimed you as sovereign lady   And shed their blood for you.   God observed and accepted the sacrifice,   And that blood was the prolific seed   Of other heroes whom the world in astonishment saw   Arising in thousands around you.           For these steel armed heroes      Nothing in the land was invincible      And from the valley to the high Sierra      Could the clamour of the struggle be heard;     After the struggle, victory came flying.      And freedom followed on victory’s heel.      And the toppled lion could be heard,      As it roared in impotence and va",NEUTRAL,959,Ecuador,959
England (“Jerusalem”),   And did those feet in ancient time   Walk upon England’s mountains green?   And was the Holy Lamb of God   On England’s pleasant pastures seen?   And did the countenance divine   Shine forth upon our clouded hills?   And was Jerusalem builded here   Among these dark satanic mills?       Bring me my bow of burning gold!   Bring me my arrows of desire!   Bring me my spear! O Clouds unfold!   Bring me my chariot of fire!   I will not cease from mental fight   Nor shall my sword sleep in my hand   Till we have built Jerusalem   In England’s green and pleasa,NEUTRAL,652,England (“Jerusalem”),652
Equatorial Guinea,"    We walk along the path   Of our immense joy.   In brotherhood, without division,   We sing Liberty!   After two centuries of being subdued   Under colonial domination,   In fraternal union, without discrimination,   We sing Liberty!   We cry, long live a free Guinea,   And we defend our liberty    We always sing, free Guinea,   And we always preserve our unity.   We cry, long live a free Guinea,   And we defend our liberty   We always sing, free Guinea,   And we preserve and we preserve our national independence   And we preserve and we preserve our national indep",NEUTRAL,664,Equatorial Guinea,664
Eritrea,"     Eritrea, Eritrea, Eritrea,   Her enemy decimated,   and her sacrifices vindicated by liberation.       Steadfast in her goal,   symbolizing endurance,   Eritrea, the pride of her oppressed people,   proved that the truth prevails.         Eritrea, Eritrea,   holds her rightful place in the world.       Dedication that led to liberation,   Will build up and make her green,   We shall honor her with progress,   We have a word to her to embellish",NEUTRAL,542,Eritrea,542
Estonia,"   My fatherland, my joy and happiness,   How beautiful you are!   I shall not find such ever   In this huge wide world   Which would be so dear to me   As you, my fatherland!       You have given me birth   And raised me up;   I shall thank you always   And remain faithful to you ’til death,   To me most beloved are you,   My precious fatherland!       May God watch over you,   My precious fatherland!   Let Him be your defender   And provide bountiful blessings   For whatever you undertake,   My precious fat",POSITIVE,604,Estonia,604
England (“Land of Hope and Glory”),"   Land of Hope and Glory,   Mother of the free,   How shall we extol thee,   Who are born of thee,   Wider still and wider,   Shall thy bounds be set,   God who made thee mighty,   Make thee mightier yet!   God who made thee mighty,   Make thee might",NEUTRAL,341,England (“Land of Hope and Glory”),341
Esperanto,   Into the world came a new feeling   Through the world goes a powerful call   By the wings of a gentle wind   It shall now fly from place to place   Not to the sword thirsting for blood   Does it draw the human family   To the world eternally at war   It promises sacred harmony       Under the sacred sign of Hope   Gather the warriors of peace   And this thing quickly grows   By the labors of those who hope   The walls of a thousand years stand firm   Between the divided peoples   But the stubborn barriers will crumble   Knocked down with sacred love       Based on a neutral language   Understanding one another   The people will agree to make   One great family circle   Our diligent colleagues   In peaceful labor will never tire   Until the beautiful dream of humanity   For eternal good is ,NEUTRAL,893,Esperanto,893
eSwatini,"   O Lord our God, bestower of the blessings of the Swazi;   We give Thee thanks for all our good fortune;   We offer thanks and praise for our King   And for our fair land, its hills and rivers.       Thy blessings be on all rulers of our Country;   Might and power are Thine alone;   We pray Thee to grant us wisdom without deceit or malice.   Establish and fortify us, Lord ",NEUTRAL,467,eSwatini,467
Fiji,   Let us show pride and honour our nation   Where righteous people reside   Where prosperity and fellowship may persevere   Abandon deeds that are immoral            Let Fiji live on   And progress onwards   May our leaders be honourable men   Let them lead our people   To great things   And bring an end to all things immoral       The burden of change lie on your shoulders youth of Fiji   Be the strength to cleanse our nation   Be wary and not harbour malice   For we must abandon such sentiments foreve,NEUTRAL,599,Fiji,599
Ethiopia (1930-1975),"   Ethiopia, be happy   thanks to the power of God and your ruler.   Your brave citizens are unanimous;   your freedom will never be touched,   as your mountains are defiant   and your natives do not fear any enemy.   Long live our victorious ruler   to the glory of our country.   Your mountains are defiant   and your natives do not fear any enemy.   Long live our victorious ruler   to the glory of our ",POSITIVE,496,Ethiopia (1930-1975),496
Falkland Islands,"   In my heart there’s a call for the isles far away   Where the wind from the Horn often wanders at play.   Where the kelp moves and swells to the wind and the tide   And penguins troop down from the lonely hillside.            Those isles of the sea are calling to me   The smell of the camp fire a dear memory.   Though far I may roam, some day I’ll come home   To the islands, the Falklands, the isles of the sea.        There’s a camp house down yonder I’m longing to see,     Though it’s no gilded palace it’s there I would be.   Just to be there again I would race o’er the foam,     For that lone house so far is my own home sweet home.              Now we’re off to the Falklands, so wild and so free,     Where there’s tussock and kelp and the red diddle-dee,     And the wild rugged beauty that thrills more than me   Is bred in the bones on the isles of the sea",NEUTRAL,963,Falkland Islands,963
Ethiopia (1975-1992),"   Ethiopia, Ethiopia – Ethiopia, be first   In socialism – flourish, be fertile!      Your brave sons have made a covenant,   That your rivers and mountains, your virgin land   Should be a sacrifice for the unity of Ethiopia, for your freedom,   To your honour and renown!      Strive forwards on the road of wisdom,   Gird yourself for the task,   For the prosperity of the land!      You are the mother of heroes – be proud of your sons,   May your enemies perish – may you live fo",NEUTRAL,574,Ethiopia (1975-1992),574
Ethiopia,"   Respect for citizenship is strong in our Ethiopia;   National pride is seen, shining from one side to another.   For peace, for justice, for the freedom of peoples,   In equality and in love we stand united.   Firm of foundation, we do not dismiss humanness;   We are peoples who live through work.   Wonderful is the stage of tradition, mistress of proud heritage,   Mother of natural virtue, mother of a valorous people.   We shall protect you – we have a duty;   Our Ethiopia, live! And let us be proud",NEUTRAL,598,Ethiopia,598
France (1848-1852),"   The voices of cannon alarm   France calls her children   – Come said the soldier, to arms!   It’s my mother, I defend.         Dying for the Fatherland   Dying for the Fatherland   It is the fate most beautiful, most envied   It is the fate most beautiful, most envied       We, friends, who battle away   Succumb in obscurity   Vow at least our funeral   In France, in freedom.             Brothers, for a holy cause,   When each of us is a martyr,   Do not utter a complaint,   France, one day we shall bless.             O Creator of nature,   Bless our bounty again,   We would complain about an injury,   We are dying for freedom",NEUTRAL,727,France (1848-1852),727
Flanders,"   They won’t tame him, the proud Flemish Lion   Even if they threat his freedom, with fettering and shouting   They won’t tame him, as long as one Fleming is still alive   As long as the Lion can claw, as long as he has teeth        :   They won’t tame him, as long as one Fleming is still alive   As long as the Lion can claw, as long as he has teeth        Time will devour the cities, no thrones will ever last    Armies may go under, but a people never die.   The enemy will attack, surrounded by the fear of death    we laugh with his anger: the Flemish Lion is there!",NEUTRAL,664,Flanders,664
France (1852-1870),"   Going to Syria   The young and beautiful Dunois   When he went to ask the Virgin Mary,   His heroic deeds to bless,   Do you, immortal Queen   He said on his leaving,   I love the most beautiful   And am the bravest   I love the most beautiful   And am the bravest       He wrote on stone   The oath of honor   And followed into war   The earl, his lord.   The noble desire faithfulness   He said to his fighter:   Love the most beautiful   Honor to the brave   Love the most beautiful   Honor to the brave       We owe you the victory   Verily! says the lord,   Since you have established my glory,   I will make you happy!   My daughter Isabella   Will be your wife   For she is the most beautiful   And you the bravest   For she is the most beautiful   And you the bravest       At the altar of Mary,   They pledged both   This dear union   Which makes the lonely happy.   Everyone in the chapel   Said seeing them:   Love the most beautiful   Honor to the brave   Love the most beautiful   Honor to th",NEUTRAL,1098,France (1852-1870),1098
France,"   Arise children of the fatherland   The day of glory has arrived   Against us tyranny’s   Bloody standard is raised   The bloody standard is raised   Listen to the sound in the fields   The howling of these fearsome soldiers   They are coming into our midst   To cut the throats of your sons and consorts         To arms citizens   Form you battalions   March, march   Let impure blood   Water our furrows       What do they want this horde of slaves   Of traitors and conspiratorial kings?   For whom these vile chains   These long-prepared irons?   These long-prepared irons?   Frenchmen, for us, ah! What outrage   What methods must be taken?   It is we they dare plan   To return to the old slavery!             What! These foreign cohorts!   They would make laws in our courts!   What! These mercenary phalanxes   Would cut down our warrior sons   Cut down our warrior sons   Good Lord! By chained hands   Our brow would yield under the yoke   The vile despots would have themselves be   The masters of destiny             Tremble, tyrants and traitors   The shame of all good men   Tremble! Your parricidal schemes   Will receive their just reward   Will receive their just reward   Against you we are all soldiers   If they fall, our young heros   France will bear new ones   Ready to join the fight against you             Frenchmen, as magnanimous warriors   Bear or hold back your blows   Spare these sad victims   Who with regret are taking up arms against us   With regret are taking up arms against us   But not these bloody despots   These accomplices of Bouillé   All these tigers who pitilessly   Are ripping open their mothers’ breasts             Sacred Love for the Fatherland   Lead and support our avenging arms   Liberty, cherished liberty   Join the struggle with your defenders   Join the struggle with your defenders   Under our flags, let victory   Hasten to you virile force   So that in death your enemies   See your triumph and our glory!             We shall enter into the pit   When our elders will no longer be there   There we shall find their ashes   And the mark of their virtues   And the mark of their virtues   We are much less jealous of surviving them   Than of sharing their coffins   We shall have the sublime pride   Of avenging or joining the",NEUTRAL,2379,France,2379
France (1799-1815),"   Victory singing   Opens for us the gates   Liberty guides our steps   And from the North to the South   The war trumpet   Signals the hour of the fight   Tremble, enemies of France   Kings drunk on blood and pride   The sovereign People comes forth   Tyrants go down to your graves         The Republic is calling us   Let us prevail or let us perish   A Frenchman must live for her   For her a Frenchman must die   A Frenchman must live for her   For her a Frenchman must die       Do not fear that our motherly eyes should weep   From us begone, cowardly grief!   We must triumph when you bear arms   It is kings who have to weep   We gave you life   Warriors, it is no longer yours   All your days belong to the Motherland   It is your mother above all             May the fatherly iron arm, the hand of the braves   Think of us on the      Bless with the blood of the kings and of the slaves   the arms blessed by your elder   And bringing back home   wounds and virtues   come and close our lids   when tyrants are no more             The fates of Barra and Viala fill us with envy   They died, but they prevailed   The coward plagued with years never experienced life   He who dies for the People has lived   You are brave, we are too   Guide us against Tyrants   Republicans are men   Slaves are children             Leave, valiant husbands! Battles are your feasts   Leave, models for warriors   We shall pick flowers to crown your heads   Our hands shall braid laurels   And if      Should open for your victorious    Our voices shall sing your glory   Our wombs shall bear your avengers             And we, sister of the heroes, we who of Hymenaios   ignore the loveable knots   if, for uniting themselves some day with our destiny   a citizen would express the wish   let them come back in our walls   embellished with glory and liberty   and that their blood, in battles   would have been spilled for equality             On the iron, before God, we swear to our fathers   to our wives, to our sisters   to our representatives, to our sons, to our mothers   that we shall annihilate oppressors   Everywhere, into the deep night   by sinking the infamous royalty   the French shall give to the world   peace and libert",NEUTRAL,2322,France (1799-1815),2322
France (1815-1830),"   Peace returns   All French Princes   Sing the anthem,   Today and henceforth   What takes this happiness   Long live the King! Long live peace!        Long live France   And the wise Bourbons   Merciful,   Whose hearts are all good!   Peace, abundance   Come in our townships.        What extreme joy   Live, vivacious Artois!   Duke of Angouleme!   Sing all for   Louis the eighteenth   Descendant of kings!        The diadem   Of France is a king   Our hope even   Is the reason why   Yes, Louis loves us,   Long live the King!        No more sadness,   Long live Louis!   Princes, princesses,   We are delighted,   That joys   Prevail in all co",NEUTRAL,740,France (1815-1830),740
France (1830-1848),"   French people, brave people,   Freedom opens your arms;   We were told: “Be slaves!”   Suddenly, in the memory of Paris,   His cry of glory is found:         Forward! walk   Against the cannons!   Through the iron, the fire of the battalions,   Run to victory!       Close your ranks to support it!   Walk! each child of Paris   Citizen of the cartridge   Make a gift to his country.   O day of eternal memory   Paris has more than a cry of glory             The shrapnel in vain we devour:   The birth of fighters!   Under the shot, see hatched   The old generals of twenty years!   O day of eternal memory   Paris has more than a cry of glory:             To break their dense masses   Who leads our flags bloody?   It is the Freedom of both worlds   It is La Fayette with white hair.   O day of eternal memory   Paris has more than a cry of glory:             The three colors are back   And the column with pride   Shines through the clouds,   The rainbow of Liberty.   O day of eternal memory   Paris has more than a cry of glory:             Soldiers of the Tricolore   D’Orleans, thou who hast   Your blood mingle again   To him it cost us;   As the heyday of our history   You restate your cry of glory:             Drums, the convoy of our fathers   Roll the funeral signal!   And we, the popular laurels,   Instruct their coffin triumphant!   O Temple of grief and glory,   Pantheon, get their memory!         Wear them, walk!   Discover our brows   Be immortals, all of you that we mourn,   Martyrs of V",NEUTRAL,1607,France (1830-1848),1607
French Polynesia,   God created my country     Garland of multiple islands     With such delicate fragrances     linked up as an everlasting braid     Today let me praise you     Listen to your children’s voice     Crying out “Lavish your love”     So that Tahiti Nui ca,NEUTRAL,343,French Polynesia,343
Frisia,"   Friesian bloods come up wants to seethe and boil    And through our veins flow!   Fly up, we sing of the best land on the earth:    Our Friesian land full of honour and glory!         Sound loud than and thunder far in a round:    Your old honour, o Friesian ground!   Sound loud than and thunder far in a round:    Your old honour, o Friesian ground!       How also from other nations, need, and sea threatened,   age-old, beloved Frisian ground,   Those stead fast bonds were never broken,   that bound the Frisians to their land.              Unused to bowing, they stayed by the old folk in honor,   their name and language, their sense of freedom.   Their word was law, right, humble and true they teach,   and opposed to coercion from whomever it might come.              Serene folk of this old name,    Be always proud on your forefathers!   Stay forever of the grey, high stem    A green and mighty flowering offspring",NEUTRAL,1020,Frisia,1020
Gabon,"     United in concord and brotherhood,   Awake, Gabon, dawn is at hand.   Stir up the spirit that thrills and inspires us!   At last we rise up to attain happiness.   At last we rise up to attain happiness.       Dazzling and proud, the sublime day dawns,   Dispelling for ever injustice and shame.   May it still advance and calm our fears,   May it promote virtue and banish warfare.             Yes, may the happy days of which our ancestors dreamed    Come for us at last, rejoicing our hearts,    And banish the sorcerers, those perfidious deceivers    Who sowed poison and spread fear.              So that, in the eyes of the world and of friendly nations,    The immortal Gabon may maintain her good repute,    Let us forget our quarrels, let us build together    The new structure of which we all have dreamed.              From the shores of the Ocean to the heart of the forest,    Let us remain vigilant, without weakness and without hatred!    Around this flag which leads us to honour,    Let us salute the Fatherland and ever sing!",NEUTRAL,1137,Gabon,1137
Gambia,"   For The Gambia, our homeland   We strive and work and pray,   That all may live in unity,   Freedom and peace each day.   Let justice guide our actions   Towards the common good,   And join our diverse peoples   To prove man’s brotherhood.   We pledge our firm allegiance,   Our promise we renew;   Keep us, great God of nations,   To The Gambia ev",NEUTRAL,441,Gambia,441
Galicia,"   What do the murmurers say   on the greenish coast   to the transparent beam   of the placid moonlight?   What do the high   dark pine needle jagged tops say   with its well compased   monotonous buzzing?       “With your girdled greenness   and with benign stars   to the borders of the green hill forts   and the valuable plains,   don’t give to oblivion   or outrage your hard effort;   wake up from your dream   home of  .       “The good and generous   our voice understand,   and with determination they attend   our harsh sounds,   but only the ignorant,   and wounded and hard,   fools and those who dwell in the dark   don’t understand us, they do not.       “The times are arrived   sung of by ancient Bards,   that your aimless wanderings   will be at an end;   because everywhere, gigantic   our voice proclaims   the redention of the good   Nation of B",NEUTRAL,957,Galicia,957
Georgia,"   My icon is my motherland,   And icon-stand is whole world.   Bright mounts and valleys   Are shared with God   Today our freedom   Sings to the glory of future,   The dawn star rises up   And shines out between two seas.   Praise be to the liberty,   Liberty be ",NEUTRAL,355,Georgia,355
"Georgia (1918-1920, 1991-2004)","   Praise be to the heavenly Bestower of Blessings,   Praise be to paradise on earth,   To the radiant Georgians,   Praise be to brotherhood and to unity,   Praise be to liberty,   Praise be to the everlasting, lively Georgian people!       Praise be to our fatherland,   Praise be to the great and bright aim of our lives;   Hail, O joy and love,   Hail helpfulness and happiness,   Greetings to the truth, that light ",NEUTRAL,509,"Georgia (1918-1920, 1991-2004)",509
Georgia (1946-1991),"   Praised be over the ages, my Homeland,   The renewed hearth of heroes,   By the great party’s mind   And Lenin’s wisdom you’ve been risen.       Your dreams came true,   For which you shed your blood,   A tireless hand of toiler   Has brought you to bloom.       Shining of the Great October’s banners   Has illumed your hoary peaks,   Freedom, courage and doughtiness   Have turned you into the sunny land.       In fraternal family of peoples   You’ve reached singular heights,   With friendship and nation-wide strength   You triumphed and triumph.       From time immemorial your   Mind, sword and courage were radiant.   Today Georgia’s serene future   Is forged by the generation of Lenin’s temper.       The sun of communism is shining   Over you increasingly bright,   Praised be over the ages, my Motherland,   My nati",NEUTRAL,920,Georgia (1946-1991),920
Germany (1871-1918),"   Hail to thee in victor’s crown,     Ruler of the fatherland!     Hail, Emperor, to you.     Feel in the splendour of the throne     fully the highest joy:     To be the favourite of the people!     Hail, Emperor, to you.        Neither steed nor weapons     secure the steep height     where princes stand:     Love of the fatherland,     Love of the free man     founds the sovereign’s throne     like a rock in the sea.        Holy flame, glow     glow and never extinct     for the fatherland!     We all will stand then     courageous for one man,     fight and bleed with joy     for throne and empire!        Trade and sciences     may rise upwards their head   with courage and power!     Warrior and heroes’ deeds     may find their laurels of fame     faithfully preserved     on your throne!        Be, Emperor Wilhelm, here     a long time your people’s glory,     the pride of mankind!     Feel in the splendour of the throne     fully the highest joy:     To be the favourite of the people!     Hail, Emperor, ",NEUTRAL,1116,Germany (1871-1918),1116
Germany (1933-1945),"   Flag high, ranks closed,   The S.A. marches with silent solid steps.   Comrades shot by the red front and reaction   March in spirit with us in our ranks.         The street free for the brown battalions,   The street free for the Storm Troopers.   Millions, full of hope, look up at the swastika;   The day breaks for freedom and for bread.         For the last time the call will now be blown;   For the struggle now we all stand ready.   Soon will fly Hitler-flags over every street;   Slavery will last only a short time longer.         Flag high, ranks closed,   The S.A. marches with silent solid steps.   Comrades shot by the red front and reaction   March in spirit with us in our",NEUTRAL,781,Germany (1933-1945),781
Germany,"   Unity and Right and Freedom   For the German Fatherland!   After these let us all strive   Brotherly with heart and hand!   Unity and Right and Freedom   Are the pledge of happiness.   Bloom in the splendour of this happiness,   Bloom, my German Fatherland!   Bloom in the splendour of this happiness,   Bloom, my German Fat",NEUTRAL,417,Germany,417
East Germany,"   Risen from the ruins    and turned toward the future,   Let us serve you for the common good,    Germany, united Fatherland.   Our task is to overcome old distress,    and we shall overcome it together,   and we shall surely succeed,    so that the sun, more beautifully than ever before,   shines over Germany,   shines over Germany.       May happiness and peace be granted    to Germany, our Fatherland.    The whole world longs for peace,    extend your hand to all peoples.    If we unite fraternally,    we will defeat the enemy of the People.   Let the light of peace shine,    so that a mother never again    mourns her son,   mourns her son.       Let us plough, let us build,    learn and achieve as never before,   That, trusting in our own strength,    a free generation shall arise.   German youth, the best striving    of our people united in you,   Will revivitalize Germany   And the sun, more beautifully than ever before   shall shine over Germany,   shall shine over ",NEUTRAL,1079,East Germany,1079
West Germany (1949-1950),"   I am devoted to you    with heart and with hand,     You land full with love and life,    my German Fatherland!     You land full with love and life,    my German Fatherland!         My hearth is glowing,    loyally turned towards you,     You land of the free and faithful,    you glorious  ‘s land!     You land of the free and faithful,    you glorious Hermann’s land!         I will hold and believe    in God faithfully and free;     Will, Fatherland, remain    forever steadfast and loyal to you.     Will, Fatherland, remain    forever steadfast and loyal to you.         O God, do raise    my young hearth’s blood     Towards fresh joyful life,    towards free and faithful courage!     Towards fresh joyful life,    towards free and faithful courage!        Let strength me gain    in heart and hand,     To live and to die    for the holy Fatherland!     To live and to die    for the holy Fath",POSITIVE,997,West Germany (1949-1950),997
